galaxy,X0_cen,X0_err_cen,Y0_cen,Y0_err_cen,PA_ser,PA_err_ser,ell_ser,ell_err_ser,n_ser,n_err_ser,I_e_ser_counts,I_e_ser_mag,I_e_err_ser_counts,I_e_err_ser_mag,r_e_ser_pix,r_e_ser_kpc,r_e_err_ser_pix,r_e_err_ser_kpc,PA_exp,PA_err_exp,ell_exp,ell_err_exp,I_0_exp_counts,I_0_exp_mag,I_0_err_exp_counts,I_0_err_exp_mag,h_exp_pix,h_exp_kpc,h_err_exp_pix,h_err_exp_kpc,chi2,AIC,BIC,Total_lum_counts,Total_lum_mag,Sersic_lum_counts,Sersic_lum_mag,B/T,Exponential_lum_counts,Exponential_lum_mag,D/T,Total_time_sec
MCG-01-10-019,183.4301,0.0183,149.4388,0.0137,108.079,0.42654,0.340015,0.0042062,1.2318,0.018212,142.753,20.325,2.3713,24.774,8.4951,0.404,0.096118,0.005,109.385,0.22768,0.41003,0.0025741,103.823,20.671,0.76563,26.002,49.0361,2.33,0.26828,0.013,1.466,47840.513,47932.827,9301.238,15.791,4571.755,16.562,0.492,4729.483,16.525,0.508,44.53
NGC0192,333.2384,0.0047,256.2539,0.0031,77.1524,0.11907,0.37986,0.0012958,1.23997,0.0063415,1536.51,17.662,6.5507,23.587,5.35006,0.254,0.013384,0.001,73.5298,0.023682,0.65905,0.00037718,642.289,18.609,1.2136,25.418,36.901,1.754,0.044577,0.002,2.903,159004.123,159102.138,55729.72,13.763,32249.028,14.357,0.579,23480.692,14.701,0.421,45.74
NGC0237,191.6196,0.0097,156.8972,0.0083,136.973,0.19038,0.541159,0.0028499,1.42765,0.017746,218.437,19.909,3.4878,24.401,9.77054,0.464,0.10511,0.005,87.8756,0.093399,0.398799,0.0010251,658.541,18.711,2.1114,24.946,23.4768,1.116,0.043059,0.002,2.652,106866.266,106960.906,24370.529,14.79,9153.742,15.853,0.376,15216.787,15.302,0.624,36.25
NGC3106,338.925,0.0005,347.225,0.0037,71.1901,0.95366,0.05,0.0,4.41531,0.092411,214.308,19.831,9.6934,23.192,14.3682,0.683,0.37669,0.018,63.1227,0.7822,0.094486,0.0023546,133.26,20.347,1.5443,25.186,47.5648,2.26,0.16518,0.008,1.182,114889.552,114993.874,1002122.403,10.656,995952.155,10.663,0.994,6170.248,16.183,0.006,67.56
NGC3614,231.0905,0.0126,354.6723,0.0135,0.0,0.0,0.05,0.0,2.8801,0.055561,17.7699,22.525,1.1105,25.536,35.213,1.673,1.6722,0.079,21.7495,0.089298,0.354264,0.0016232,134.472,20.328,0.92153,25.738,73.5933,3.497,0.18562,0.009,1.973,257240.494,257348.055,11803.288,15.47,6256.585,16.159,0.53,5546.703,16.29,0.47,37.11
NGC5379,266.9505,0.0082,204.7235,0.0078,136.317,0.28021,0.41079,0.0032587,0.85501,0.0078734,565.516,18.775,0.0,25.656,4.24057,0.202,0.013886,0.001,126.708,0.033403,0.635248,0.00050702,374.282,19.223,0.58163,26.245,36.7865,1.748,0.045593,0.002,2.645,166344.161,166443.697,20495.864,14.877,6806.269,16.074,0.332,13689.595,15.315,0.668,47.22
NGC5443,530.0696,0.0051,178.6565,0.0039,104.902,0.29056,0.191353,0.001842,2.24474,0.013147,430.336,19.087,4.3757,24.069,8.88914,0.422,0.057201,0.003,108.384,0.019313,0.66398,0.00036427,505.845,18.912,0.92867,25.752,56.8201,2.7,0.065328,0.003,2.569,314449.702,314556.566,80944.493,13.401,52334.521,13.875,0.647,28609.972,14.531,0.353,104.99
NGC5772,341.4197,0.0027,277.4765,0.0022,100.943,0.22691,0.186603,0.0013582,2.20702,0.010051,1232.34,18.005,8.4264,23.418,5.27982,0.251,0.021098,0.001,100.127,0.055007,0.467173,0.00070982,403.841,19.216,1.0709,25.657,38.2695,1.819,0.062132,0.003,1.785,91156.8,91254.046,97084.425,13.264,81885.647,13.449,0.843,15198.778,15.277,0.157,49.67
NGC6132,185.5488,0.0101,267.0087,0.018,16.3591,0.046863,0.64299,0.00076259,1.21242,0.0050938,87.137,20.872,0.0,25.723,41.3576,1.965,0.05609,0.003,94.4656,4.8911,0.124235,0.024576,612.985,18.754,0.0,25.723,2.14566,0.102,0.028833,0.001,2.31,34431.862,34515.551,14457.239,15.322,13136.67,15.426,0.909,1320.569,17.921,0.091,38.25
NGC6978,187.475,0.0037,170.475,0.0023,25.0585,0.16847,0.449645,0.0021104,3.03208,0.056638,331.493,19.367,12.869,22.894,8.34602,0.397,0.2014,0.01,29.3539,0.048437,0.634097,0.00092316,425.523,19.096,2.7597,24.566,36.6256,1.74,0.11426,0.005,1.85,69774.81,69868.719,114839.845,13.018,99469.584,13.174,0.866,15370.262,15.202,0.134,37.32
